Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
4,GUANABARA - URB,8,4125,2129,46925,14203,425,10229,3254,7538,21471,0,2382
4,GUANABARA - URB,15,2339,1492,21287,2909,113,5948,3066,3947,16287,0,1109
4,GUANABARA - URB,17,1173,686,11497,1644,55,2906,1561,1838,7774,0,791
4,GUANABARA - URB,19,690,381,6237,1010,3,3109,1382,1101,4681,0,860
4,GUANABARA - URB,25,776,435,8322,1177,0,2747,1544,1583,5152,0,1154
4,GUANABARA - URB,29,1127,591,12003,2460,7,1979,887,2017,6747,0,708
4,GUANABARA - URB,43,1845,1074,16612,3145,58,3727,1327,3253,10259,0,1028
4,GUANABARA - URB,60,4760,2423,40826,6414,155,6815,2817,7530,23502,0,2365
4,GUANABARA - URB,64,3621,2233,34237,4491,47,9938,4646,5686,25352,0,1831
4,GUANABARA - URB,67,12,9,166,24,0,44,18,40,120,0,9
4,GUANABARA - URB,70,1288,971,16990,1748,7,3239,1769,1981,10605,0,889
4,GUANABARA - URB,72,2171,1566,24464,4857,35,3445,1506,4326,15505,0,1579
4,GUANABARA - URB,75,1658,980,14496,2463,10,2628,1019,3740,9244,0,875
4,GUANABARA - URB,76,559,380,6137,1024,28,1938,518,1103,3892,0,491
4,GUANABARA - URB,77,2998,2376,40844,7861,39,4786,2254,5992,23366,0,2509
4,GUANABARA - URB,79,3739,2381,34700,5751,170,5475,1932,5345,18859,0,2013
4,GUANABARA - URB,81,0,0,0,0,0,0,0,0,0,0,1
4,GUANABARA - URB,84,3191,2037,29627,6278,74,7028,2872,6723,18256,0,1868
4,GUANABARA - URB,581,113,49,1028,162,0,352,151,167,419,0,617
4,GUANABARA - URB,592,105,41,769,108,0,258,94,90,339,0,500
4,GUANABARA - URB,593,238,144,928,201,0,385,182,270,924,0,509
4,GUANABARA - URB,1029,265,122,2768,494,0,486,187,472,1494,0,161
4,REUNIDAS,7,3706,1950,40022,8093,90,5550,2216,7745,22841,0,2284
4,REUNIDAS,26,1161,492,13869,3827,24,1670,659,2545,6121,0,504
4,REUNIDAS,27,2284,1268,18974,2355,54,4992,2036,3611,14409,0,1456
4,REUNIDAS,29,2417,1241,27646,5774,47,4750,2037,4439,15764,0,1551
4,REUNIDAS,35,3473,1720,29531,6694,413,6406,2960,7012,15959,0,1698
4,REUNIDAS,43,1767,1025,17987,2744,21,3671,1380,3399,10343,0,1078
4,REUNIDAS,68,473,219,6493,824,8,1174,428,1549,3348,0,511
4,REUNIDAS,73,8819,6001,110379,27630,511,12295,5279,15913,56832,0,4665
4,REUNIDAS,78,1213,752,15650,1680,30,1663,579,3018,7115,0,617
4,REUNIDAS,9018,2,4,48,40,0,13,2,17,53,0,26
4,SANTA MARIA - URB,24,2898,1638,21685,5917,60,4373,2092,5727,13956,0,1708
4,SANTA MARIA - URB,37,2642,1207,17957,6131,0,4131,1830,3843,10826,0,1635
4,SANTA MARIA - URB,38,6703,4672,52514,12024,426,24946,11911,9565,47708,0,3775
4,SANTA MARIA - URB,39,2499,923,23677,6225,137,3782,1639,4736,10221,0,1780
4,SANTA MARIA - URB,46,3982,2060,33253,13975,1,4379,2438,6481,19709,0,1632
4,SANTA MARIA - URB,54,2531,1313,18703,7963,30,4401,2621,3710,10869,0,2024
4,SANTA MARIA - URB,56,424,284,9307,3000,0,783,410,1196,4103,0,1008
4,SANTA MARIA - URB,83,635,614,10127,821,0,1816,657,2179,7015,0,810
4,SANTA MARIA - URB,331,1227,794,10723,1885,38,2000,774,2734,7295,0,703
4,SANTA MARIA - URB,411,815,461,6036,1862,0,1439,541,1566,4139,0,465
4,SANTA MARIA - URB,536,204,76,1894,392,0,607,307,461,928,0,526
4,VIA SUL - URB,50,6193,3301,63735,15126,174,10253,4056,11039,36067,0,3639
4,VIA SUL - URB,51,2526,1079,15920,6120,0,3892,1879,3685,9869,0,1389
4,VIA SUL - URB,52,2109,1079,14262,4786,65,4371,2413,3404,10025,0,1348
5,CONCEIÇÃO,21,3651,2203,30778,4395,51,11117,4747,5414,25158,0,2520
5,CONCEIÇÃO,30,2183,886,19266,4720,66,4235,1515,4577,11541,0,1662
5,CONCEIÇÃO,41,661,267,6154,2013,42,1197,500,1473,2858,0,563
5,CONCEIÇÃO,59,2042,1690,20731,4380,22,9498,3642,3700,17565,0,1940
5,CONCEIÇÃO,63,4737,2468,42671,7941,40,9286,3589,6938,25565,0,3046
5,CONCEIÇÃO,76,662,325,6756,1271,28,2191,650,1296,4917,0,546
5,CONCEIÇÃO,83,1095,822,13954,982,3,2131,847,3072,11467,0,1014
5,CONCEIÇÃO,411,1347,928,8812,2966,0,2724,1062,2382,7448,0,866
